,time,action,posX,posY,press,tilt,orient,calPosY
200,13218194,2,130.87881,660.6335,0.06813187,0.7657836,-0.9131285,901.6335
201,13218198,2,131.8779,660.6335,0.06813187,0.7657836,-0.9131285,901.6335
202,13218206,2,132.87697,660.6335,0.06837607,0.7657836,-0.9131285,901.6335
203,13218211,2,132.87697,660.6335,0.06862027,0.7657836,-0.9131285,901.6335
204,13218215,2,133.87604,660.6335,0.06886447,0.7657836,-0.9131285,901.6335
205,13218219,2,134.87512,660.6335,0.06886447,0.7657836,-0.9131285,901.6335
206,13218223,2,134.87512,660.6335,0.06910867,0.7657836,-0.9131285,901.6335
207,13218227,2,135.87419,660.6335,0.06910867,0.7657836,-0.9131285,901.6335
208,13218231,2,136.87326,659.6339,0.06910867,0.7657836,-0.9131285,900.6339
209,13218235,2,137.87234,659.6339,0.06910867,0.7657836,-0.9131285,900.6339
210,13218240,2,138.87141,659.6339,0.06910867,0.7657836,-0.9131285,900.6339
211,13218244,2,139.87048,658.6343,0.06910867,0.7657836,-0.9131285,899.6343
212,13218248,2,140.86957,658.6343,0.06910867,0.7657836,-0.9131285,899.6343
213,13218252,2,141.86864,657.6347,0.06910867,0.7657836,-0.9131285,898.6347
214,13218256,2,143.86679,657.6347,0.06910867,0.7657836,-0.9131285,898.6347
215,13218261,2,144.86586,656.63513,0.06910867,0.7657836,-0.9131285,897.63513
216,13218265,2,146.86401,655.6355,0.06910867,0.7657836,-0.9131285,896.6355
217,13218269,2,147.8631,654.6359,0.06910867,0.7657836,-0.9131285,895.6359
218,13218273,2,149.86124,653.63635,0.06910867,0.7657836,-0.9131285,894.63635
219,13218277,2,150.86032,652.6367,0.06910867,0.7657836,-0.9131285,893.6367
220,13218282,2,152.85846,651.63715,0.06910867,0.7657836,-0.9131285,892.63715
221,13218285,2,154.85661,650.6376,0.06910867,0.7657836,-0.9131285,891.6376
222,13218290,2,156.85477,649.63794,0.06910867,0.7657836,-0.9131285,890.63794
223,13218294,2,158.85292,648.63837,0.06910867,0.775145,-0.89684075,889.63837
224,13218298,2,160.85106,647.6388,0.06910867,0.775145,-0.89684075,888.6388
225,13218302,2,163.8483,646.63916,0.06910867,0.76227283,-0.884877,887.63916
226,13218306,2,167.84459,645.6396,0.06910867,0.76227283,-0.884877,886.6396
227,13218311,2,170.84181,644.64,0.06910867,0.76227283,-0.884877,885.64
228,13218315,2,174.83812,644.64,0.06910867,0.76227283,-0.884877,885.64
229,13218319,2,178.83441,643.6404,0.06910867,0.76227283,-0.884877,884.6404
230,13218323,2,182.83072,642.6408,0.06910867,0.76227283,-0.884877,883.6408
231,13218327,2,185.82794,642.6408,0.06910867,0.74954826,-0.87239915,883.6408
232,13218331,2,189.82423,641.64124,0.06910867,0.74954826,-0.87239915,882.64124
233,13218335,2,193.82054,641.64124,0.06910867,0.74954826,-0.87239915,882.64124
234,13218340,2,197.81683,641.64124,0.06910867,0.74954826,-0.87239915,882.64124
235,13218344,2,200.81406,640.6416,0.06910867,0.74954826,-0.87239915,881.6416
236,13218348,2,204.81036,640.6416,0.06910867,0.74954826,-0.87239915,881.6416
237,13218352,2,207.80759,640.6416,0.06910867,0.7369791,-0.8593844,881.6416
238,13218356,2,210.80481,640.6416,0.06910867,0.7369791,-0.8593844,881.6416
239,13218361,2,214.80112,640.6416,0.06910867,0.7369791,-0.8593844,881.6416
240,13218365,2,218.79741,640.6416,0.06910867,0.7369791,-0.8593844,881.6416
241,13218369,2,223.79279,639.642,0.06910867,0.7369791,-0.8593844,880.642
242,13218373,2,227.7891,639.642,0.06910867,0.7369791,-0.8593844,880.642
243,13218377,2,232.78445,639.642,0.06910867,0.7351657,-0.82982385,880.642
244,13218381,2,237.77983,639.642,0.06910867,0.7351657,-0.82982385,880.642
245,13218385,2,241.77614,640.6416,0.06910867,0.7351657,-0.82982385,881.6416
246,13218390,2,246.77151,640.6416,0.06910867,0.7351657,-0.82982385,881.6416
247,13218394,2,250.7678,640.6416,0.06910867,0.7351657,-0.82982385,881.6416
248,13218398,2,253.76503,641.64124,0.06910867,0.7351657,-0.82982385,882.64124
249,13218402,2,257.76132,642.6408,0.06910867,0.7351657,-0.82982385,883.6408
250,13218406,2,261.75763,642.6408,0.06910867,0.7351657,-0.82982385,883.6408
251,13218411,2,264.75485,643.6404,0.06910867,0.7351657,-0.82982385,884.6404
252,13218415,2,267.75208,643.6404,0.06910867,0.7351657,-0.82982385,884.6404
253,13218419,2,271.74838,644.64,0.06910867,0.7351657,-0.82982385,885.64
254,13218423,2,274.7456,645.6396,0.06910867,0.7351657,-0.82982385,886.6396
255,13218427,2,277.74283,646.63916,0.06910867,0.7351657,-0.82982385,887.63916
256,13218431,2,280.74005,647.6388,0.06910867,0.7351657,-0.82982385,888.6388
257,13218435,2,284.73636,648.63837,0.06910867,0.7351657,-0.82982385,889.63837
258,13218440,2,287.73358,649.63794,0.06910867,0.7351657,-0.82982385,890.63794
259,13218444,2,291.7299,650.6376,0.06910867,0.7351657,-0.82982385,891.6376
260,13218448,2,294.7271,651.63715,0.06910867,0.7351657,-0.82982385,892.63715
261,13218452,2,297.72433,653.63635,0.06910867,0.7351657,-0.82982385,894.63635
262,13218456,2,300.72156,654.6359,0.06910867,0.7351657,-0.82982385,895.6359
263,13218461,2,303.71878,656.63513,0.06910867,0.7351657,-0.82982385,897.63513
264,13218465,2,306.716,657.6347,0.06910867,0.7351657,-0.82982385,898.6347
265,13218469,2,309.71323,659.6339,0.06910867,0.7351657,-0.82982385,900.6339
266,13218473,2,311.71136,661.6331,0.06910867,0.7351657,-0.82982385,902.6331
267,13218477,2,314.70862,663.63226,0.06910867,0.7351657,-0.82982385,904.63226
268,13218481,2,317.70584,665.6315,0.06910867,0.7351657,-0.82982385,906.6315
269,13218485,2,319.70398,667.6307,0.06910867,0.7351657,-0.82982385,908.6307
270,13218490,2,322.7012,669.6298,0.06910867,0.7351657,-0.82982385,910.6298
271,13218494,2,324.69934,671.629,0.06910867,0.7351657,-0.82982385,912.629
272,13218498,2,326.6975,674.6278,0.06910867,0.7351657,-0.82982385,915.6278
273,13218502,2,328.69565,676.627,0.06910867,0.7351657,-0.82982385,917.627
274,13218506,2,330.69382,678.62616,0.06910867,0.7351657,-0.82982385,919.62616
275,13218510,2,332.69196,681.62494,0.06910867,0.7351657,-0.82982385,922.62494
276,13218515,2,334.6901,684.6237,0.06910867,0.7351657,-0.82982385,925.6237
277,13218519,2,336.68826,686.6229,0.06910867,0.7351657,-0.82982385,927.6229
278,13218523,2,338.6864,689.6217,0.06910867,0.7351657,-0.82982385,930.6217
279,13218527,2,339.6855,691.6209,0.06910867,0.7351657,-0.82982385,932.6209
280,13218531,2,341.68362,694.6197,0.06910867,0.7351657,-0.82982385,935.6197
281,13218535,2,342.6827,697.61847,0.06910867,0.7351657,-0.82982385,938.61847
282,13218540,2,343.68176,700.61725,0.06910867,0.74731296,-0.8434508,941.61725
283,13218544,2,344.68085,703.616,0.06910867,0.74731296,-0.8434508,944.616
284,13218548,2,345.67993,705.61523,0.06910867,0.74731296,-0.8434508,946.61523
285,13218552,2,346.67902,708.614,0.06910867,0.74731296,-0.8434508,949.614
286,13218556,2,347.67807,712.61237,0.06910867,0.74731296,-0.8434508,953.61237
287,13218560,2,348.67715,715.61115,0.06910867,0.74731296,-0.8434508,956.61115
288,13218565,2,349.67624,718.6099,0.06910867,0.74731296,-0.8434508,959.6099
289,13218569,2,350.6753,722.6083,0.06910867,0.74731296,-0.8434508,963.6083
290,13218573,2,350.6753,726.6067,0.06910867,0.7369791,-0.8593844,967.6067
291,13218577,2,351.67438,730.60504,0.06910867,0.7369791,-0.8593844,971.60504
292,13218581,2,351.67438,733.6038,0.06910867,0.7369791,-0.8593844,974.6038
293,13218585,2,352.67346,737.60223,0.06910867,0.7369791,-0.8593844,978.60223
294,13218590,2,352.67346,741.6006,0.06910867,0.7369791,-0.8593844,982.6006
295,13218594,2,352.67346,744.59937,0.06910867,0.7369791,-0.8593844,985.59937
296,13218598,2,353.67252,748.5977,0.06910867,0.7369791,-0.8593844,989.5977
297,13218602,2,353.67252,751.5965,0.06910867,0.7369791,-0.8593844,992.5965
298,13218606,2,352.67346,755.5949,0.06910867,0.7369791,-0.8593844,996.5949
299,13218610,2,352.67346,758.5937,0.06910867,0.7369791,-0.8593844,999.5937
300,13218615,2,352.67346,761.59247,0.06910867,0.7369791,-0.8593844,1002.59247
301,13218618,2,352.67346,765.5908,0.06910867,0.7369791,-0.8593844,1006.5908
302,13218623,2,351.67438,768.5896,0.06910867,0.7369791,-0.8593844,1009.5896
303,13218627,2,351.67438,771.5884,0.06910867,0.7369791,-0.8593844,1012.5884
304,13218631,2,351.67438,775.5868,0.06910867,0.74954826,-0.87239915,1016.5868
305,13218635,2,350.6753,778.5856,0.06910867,0.73968947,-0.88886094,1019.5856
306,13218640,2,350.6753,782.5839,0.06910867,0.73968947,-0.88886094,1023.5839
307,13218644,2,349.67624,786.5823,0.06935287,0.73968947,-0.88886094,1027.5823
308,13218648,2,349.67624,790.5807,0.06935287,0.73968947,-0.88886094,1031.5807
309,13218652,2,348.67715,795.5786,0.06959707,0.73968947,-0.88886094,1036.5786
310,13218656,2,347.67807,799.577,0.06984127,0.73968947,-0.88886094,1040.577
311,13218660,2,346.67902,804.57495,0.07008547,0.73968947,-0.88886094,1045.575
312,13218665,2,346.67902,808.57336,0.07032967,0.73968947,-0.88886094,1049.5734
313,13218669,2,345.67993,812.5718,0.070573874,0.73968947,-0.88886094,1053.5718
314,13218673,2,345.67993,817.5697,0.070818074,0.7300605,-0.9059279,1058.5697
315,13218677,2,344.68085,821.5681,0.071062274,0.7300605,-0.9059279,1062.5681
316,13218681,2,343.68176,825.5664,0.071306475,0.7300605,-0.9059279,1066.5664
317,13218685,2,343.68176,829.5648,0.071550675,0.7300605,-0.9059279,1070.5648
318,13218690,2,342.6827,833.56323,0.071794875,0.7300605,-0.9059279,1074.5632
319,13218694,2,341.68362,837.5615,0.071794875,0.7300605,-0.9059279,1078.5615
320,13218698,2,341.68362,840.5603,0.072039075,0.7300605,-0.9059279,1081.5603
321,13218702,2,340.68454,844.5587,0.072039075,0.7300605,-0.9059279,1085.5587
322,13218706,2,339.6855,848.5571,0.072039075,0.7300605,-0.9059279,1089.5571
323,13218710,2,338.6864,852.5554,0.072039075,0.7300605,-0.9059279,1093.5554
324,13218715,2,337.68732,856.55383,0.072039075,0.7300605,-0.9059279,1097.5538
325,13218719,2,336.68826,860.55225,0.072039075,0.7300605,-0.9059279,1101.5522
326,13218723,2,335.68918,864.55066,0.072283275,0.7300605,-0.9059279,1105.5507
327,13218727,2,334.6901,868.54895,0.072527476,0.7206708,-0.923616,1109.549
328,13218731,2,332.69196,872.54736,0.072527476,0.7206708,-0.923616,1113.5474
329,13218735,2,331.69287,875.54614,0.072771676,0.7206708,-0.923616,1116.5461
330,13218740,2,329.69473,879.54456,0.072771676,0.7206708,-0.923616,1120.5446
331,13218744,2,328.69565,882.54333,0.072771676,0.7206708,-0.923616,1123.5433
332,13218748,2,327.6966,886.5416,0.072771676,0.7206708,-0.923616,1127.5416
